"Date","Team 1","Team 2","Time","Shooting Team","Result","Type","xG","xGOT","Shooter","Passer","T1LW","T1C","T1RW","T1LD","T1RD","T1G","T1X","T2LW","T2C","T2RW","T2LD","T2RD","T2G","T2X","PP","SH","Distance","Angle","Player Team 1","Player Team 2"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","1687","Kloten-Dietlikon Jets","Missed","Turnover | One-timer","0.34","0.00","#5 Nussbaumer","#13 Krebs","#5 Nussbaumer","#26 Laurino","#13 Krebs","#22 Kissling","#12 Foelix","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","3.59","114.34","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","1693","Floorball Uri","Saved","Direct","0.09","0.15","","","#5 Nussbaumer","#26 Laurino","#13 Krebs","#22 Kissling","#12 Foelix","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","7.32","144.92","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","1732","Kloten-Dietlikon Jets","Blocked","Direct","0.08","0.00","#13 Krebs","#12 Foelix","#5 Nussbaumer","#26 Laurino","#13 Krebs","#22 Kissling","#12 Foelix","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","8.22","30.29","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","1779","Floorball Uri","Saved","Turnover | Direct","0.20","0.38","","","#71 Leahey","#20 Schumacher","#23 Rieder","#21 Germann","#97 Schellenberg","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","4.92","136.81","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","1804","Floorball Uri","Missed","Direct","0.09","0.00","","","#71 Leahey","#20 Schumacher","#23 Rieder","#21 Germann","#97 Schellenberg","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","12.82","81.42","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","1863","Floorball Uri","Blocked","Direct","0.10","0.00","","","#17 Fontana","#16 Kauppinen","#48 Bratschi","#54 Caviezel","#59 Behringer","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","9.29","120.80","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","1863","Floorball Uri","Goal","Rebound","0.10","0.18","","","#17 Fontana","#16 Kauppinen","#48 Bratschi","#54 Caviezel","#59 Behringer","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","11.08","59.17","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","1910","Kloten-Dietlikon Jets","Missed","Direct","0.08","0.00","#5 Nussbaumer","#12 Foelix","#5 Nussbaumer","#26 Laurino","#48 Bratschi","#22 Kissling","#12 Foelix","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","9.02","36.60","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","1959","Floorball Uri","Missed","Direct","0.10","0.00","","","#88 Hüppi","#20 Schumacher","#23 Rieder","#21 Germann","#97 Schellenberg","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","7.42","73.30","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","2158","Floorball Uri","Blocked","Turnover | One-timer","0.20","0.00","","","#5 Nussbaumer","#26 Laurino","#13 Krebs","#22 Kissling","#12 Foelix","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","12.15","72.62","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","2202","Floorball Uri","Blocked","Turnover | Direct","0.08","0.00","","","#88 Hüppi","#20 Schumacher","#23 Rieder","#21 Germann","#97 Schellenberg","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","12.16","60.03","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","2320","Floorball Uri","Blocked","Direct","0.06","0.00","","","#17 Fontana","#16 Kauppinen","#8 Burri","#54 Caviezel","#59 Behringer","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","13.53","128.46","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","2329","Floorball Uri","Missed","One-timer","0.38","0.00","","","#17 Fontana","#16 Kauppinen","#8 Burri","#54 Caviezel","#59 Behringer","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","3.85","110.28","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","2368","Kloten-Dietlikon Jets","Saved","Direct","0.09","0.15","#27 Griezitis","#16 Kauppinen","#5 Nussbaumer","#23 Rieder","#16 Kauppinen","#20 Schumacher","#27 Griezitis","#77 Lemke","","","","","","","","","1","0","11.15","120.63","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","2391","Kloten-Dietlikon Jets","Saved","One-timer","0.18","0.32","#23 Rieder","#27 Griezitis","#5 Nussbaumer","#23 Rieder","#16 Kauppinen","#20 Schumacher","#27 Griezitis","#77 Lemke","","","","","","","","","1","0","8.79","44.66","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","2457","Kloten-Dietlikon Jets","Blocked","Direct","0.14","0.00","#23 Rieder","#59 Behringer","#54 Caviezel","#23 Rieder","#8 Burri","#20 Schumacher","#59 Behringer","#77 Lemke","","","","","","","","","1","0","3.76","65.56","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","2494","Kloten-Dietlikon Jets","Blocked","Direct","0.09","0.00","#8 Burri","#59 Behringer","#54 Caviezel","#23 Rieder","#8 Burri","#20 Schumacher","#59 Behringer","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","1","0","7.37","46.22","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","2562","Kloten-Dietlikon Jets","Saved","Turnover | Direct","0.20","0.38","#5 Nussbaumer","#12 Foelix","#5 Nussbaumer","#26 Laurino","#13 Krebs","#22 Kissling","#12 Foelix","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","3.27","119.58","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","2567","Floorball Uri","Saved","Turnover | Direct","0.12","0.22","","","#5 Nussbaumer","#26 Laurino","#13 Krebs","#22 Kissling","#12 Foelix","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","10.03","128.93","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","2588","Kloten-Dietlikon Jets","Goal","Turnover | One-timer","0.24","0.46","#5 Nussbaumer","#12 Foelix","#5 Nussbaumer","#26 Laurino","#13 Krebs","#22 Kissling","#12 Foelix","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","4.15","37.27","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","2593","Floorball Uri","Saved","One-timer","0.34","0.62","","","#88 Hüppi","#20 Schumacher","#23 Rieder","#21 Germann","#97 Schellenberg","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","5.79","72.55","0","0"
"2025-09-14","Kloten-Dietlikon Jets","Floorball Uri","2667","Kloten-Dietlikon Jets","Missed","Turnover | Direct","0.11","0.00","#48 Bratschi","#16 Kauppinen","#17 Fontana","#16 Kauppinen","#48 Bratschi","#54 Caviezel","#59 Behringer","#77 Lemke","","Select LW...","Select C...","Select RW...","Select LD...","Select RD...","Select a goalie...","","0","0","8.10","41.72","0","0"
